Movie Name
Good Will Hunting
True Grit
Oppenheimer
Saving Private Ryan
Behind the Candelabra
Air
Ford v Ferrari
The Bourne Ultimatum
The Martian
Ponyo
The Departed
Courage Under Fire
The Last Duel
Contagion
The Talented Mr. Ripley
The Bourne Identity
Ocean's Eleven
John Grisham's The Rainmaker
The Bourne Supremacy
The Informant!
Invictus
Stillwater
Margaret
Interstellar
Syriana
The Adjustment Bureau
Ocean's Thirteen
Spirit: Stallion of the Cimarron
Dogma
We Bought a Zoo
Elysium
Rounders
Stuck on You
Gerry
School Ties
The Good Shepherd
Jason Bourne
Ocean's Twelve
Green Zone
Promised Land
Titan A.E.
The Zero Theorem
Geronimo: An American Legend
Downsizing
Hereafter
Happy Feet Two
The Legend of Bagger Vance
The Majestic
The Brothers Grimm
The Great Wall
All the Pretty Horses
The Monuments Men
Suburbicon
