Movie Title
Grizzly II: Revenge
Return to Horror High
Return of the Killer Tomatoes
Red Surf
Unbecoming Age
The Harvest
From Dusk till Dawn
Jack Taylor
Batman & Robin
Lt. Col. Thomas Devoe
The Thin Red Line
Jack Foley
Himself
Three Kings
Himself
Dr. Horatio Gauche
The Perfect Storm
Ulysses Everett McGill
Ocean's Eleven
Diego Devlin
Confessions of a Dangerous Mind
Chris Kelvin
Jerzy
Spy Kids 3-D: Game Over
Miles Massey
Ocean's Twelve
"Good Night, and Good Luck"
Bob Barnes
The Good German
Michael Clayton
Danny Ocean
Narrator
Himself
Leatherheads
Harry Pfarrer
Fantastic Mr. Fox
Lyn Cassady
Ryan Bingham
The American
The Ides of March
"Matthew ""Matt"" King"
Gravity
The Monuments Men
Tomorrowland
"Hail, Caesar!"
Lee Gates
The Midnight Sky
Ticket to Paradise
The Flash
IF
Margaret's Man
Nespresso: The Detective
Jay Kelly
