Movie Title
Hunk
No Man's Land
Less than Zero
No Way Out
The Dark Side of the Sun
Happy Together
Cutting Class
Across the Tracks
Thelma & Louise
Johnny Suede
Cool World
Contact
A River Runs Through It
Kalifornia
True Romance
The Favor
Interview with the Vampire
Legends of the Fall
Seven
12 Monkeys
Sleepers
The Devil's Own
Seven Years in Tibet
Meet Joe Black
Fight Club
Snatch
The Mexican
Spy Game
Ocean's Eleven
Sinbad: Legend of the Seven Seas
Troy
Ocean's Twelve
Mr. & Mrs. Smith
God Grew Tired of Us
The Departed
Running with Scissors
Babel
The Tehuacan Project
Year of the Dog
A Mighty Heart
Ocean's Thirteen
The Assassination of Jesse Jamesby the Coward Robert Ford
Burn After Reading
The Curious Case of Benjamin Button
Inglourious Basterds
The Time Traveler's Wife
The Private Lives of Pippa Lee
Megamind
Kick-Ass
Eat Pray Love
The Tree of Life
Moneyball
Happy Feet Two
Killing Them Softly
World War Z
Big Men
12 Years a Slave
The Counselor
Fury
Selma
True Story
The Audition
By the Sea
Hitting the Apex
The Big Short
Moonlight
Voyage of Time
Allied
The Lost City of Z
Okja
War Machine
Brad's Status
Deadpool 2
Beautiful Boy
If Beale Street Could Talk
Vice
The Last Black Man in San Francisco
Once Upon a Time in Hollywood
The King
Ad Astra
Kajillionaire
Minari
Irresistible
The Lost City
Father of the Bride
Bullet Train
She Said
Women Talking
Blonde
Babylon
Landscape with Invisible Hand
Bob Marley: One Love
IF
Beetlejuice Beetlejuice
Wolfs
Mickey 17
F1
