Movie Name
Good Will Hunting(1997)97%
True Grit(2010)95%
Oppenheimer(2023)93%
Saving Private Ryan(1998)94%
Behind the Candelabra(2013)94%
Air(2023)93%
Ford v Ferrari(2019)92%
The Bourne Ultimatum(2007)92%
The Martian(2015)91%
Ponyo(2008)91%
The Departed(2006)91%
Courage Under Fire(1996)86%
The Last Duel(2021)85%
Contagion(2011)85%
The Talented Mr. Ripley(1999)85%
The Bourne Identity(2002)84%
Ocean's Eleven(2001)83%
John Grisham's The Rainmaker(1997)81%
The Bourne Supremacy(2004)82%
The Informant!(2009)80%
Invictus(2009)76%
Stillwater(2021)75%
Margaret(2011)75%
Interstellar(2014)73%
Syriana(2005)72%
The Adjustment Bureau(2011)72%
Ocean's Thirteen(2007)70%
Spirit: Stallion of the Cimarron(2002)69%
Dogma(1999)68%
We Bought a Zoo(2011)64%
Elysium(2013)64%
Rounders(1998)64%
Stuck on You(2003)62%
Gerry(2002)61%
School Ties(1992)61%
The Good Shepherd(2006)56%
Jason Bourne(2016)55%
Ocean's Twelve(2004)55%
Green Zone(2010)53%
Promised Land(2012)53%
Titan A.E.(2000)50%
The Zero Theorem(2013)50%
Geronimo: An American Legend(1993)50%
Downsizing(2017)47%
Hereafter(2010)48%
Happy Feet Two(2011)45%
The Legend of Bagger Vance(2000)43%
The Majestic(2001)42%
The Brothers Grimm(2005)38%
The Great Wall(2016)35%
All the Pretty Horses(2000)32%
The Monuments Men(2014)30%
Suburbicon(2017)27%
