Person ID,Name,Freebase ID
239,Jon Vitti,/en/jon_vitti
240,Stanley Kubrick,
241,Arthur C. Clarke,/en/arthur_c_clarke
243,Geoffrey Unsworth,
244,Ray Lovejoy,
245,Keir Dullea,/en/keir_dullea
246,Gary Lockwood,/en/gary_lockwood
247,William Sylvester,/en/william_sylvester
248,Daniel Richter,
249,Leonard Rossiter,/en/leonard_rossiter
250,Margaret Tyzack,/en/margaret_tyzack
251,Robert Beatty,/en/robert_beatty
252,Sean Sullivan,
253,Douglas Rain,
254,H.L. Bird,
255,Winston Ryder,
257,Victor Lyndon,
258,Gael García Bernal,/en/gael_garcia_bernal
259,Vanessa Bauche,
260,Marco Pérez,
261,Goya Toledo,
262,Álvaro Guerrero,
263,Emilio Echevarría,/en/emilio_echevarria
264,Jorge Salinas,/en/jorge_salinas
265,Rodrigo Murray,
266,Humberto Busto,
267,Gerardo Campbell,
268,Rosa María Bianchi,/en/rosa_maria_bianchi
269,Dunia Saldívar,
270,Adriana Barraza,/en/adriana_barraza
271,José Sefami,
272,Lourdes Echevarría,
273,Guillermo Arriaga,
275,Rodrigo Prieto,
276,Luis Carballar,
277,Fernando Pérez Unda,
278,Gustavo Santaolalla,
279,Antonio Vega,
280,Terry Gilliam,/en/terry_gilliam
281,Janet Peoples,
282,Charles Roven,
283,Robert Cavallo,
284,Gary Levinsohn,
285,Robert Kosberg,
286,Lloyd Phillips,
287,Brad Pitt,/en/brad_pitt
288,Jon Seda,/en/jon_seda
289,Madeleine Stowe,/en/madeleine_stowe
290,Christopher Plummer,/en/christopher_plummer
291,Frank Gorshin,/en/frank_gorshin
292,Frederick Strother,
293,Roger Pratt,
294,Mick Audsley,
295,Imogen Pollard,
296,Robin Clarke,
297,Jay Meagher,
298,Chris Bender,
305,Josh Olson,
306,John Wagner,
307,Peter Suschitzky,
309,Pedro Almodóvar,
310,Ronald Sanders,
311,Michel Ruben,
312,Jon Brion,/en/jon_brion
313,Ellen Kuras,/en/ellen_kuras
321,Anthony Bregman,
322,Steve Golin,
323,Curtis Hanson,/en/curtis_hanson
324,Scott Silver,
325,Eminem,/en/eminem
326,Kim Basinger,/en/kim_basinger
327,Mekhi Phifer,/en/mekhi_phifer
328,Brittany Murphy,/en/brittany_murphy
329,Carol Fenelon,/en/carol_fenelon
330,Jay Rabinowitz,
331,Craig Kitson,
333,Evan Jones,/en/evan_jones
334,Omar Benson Miller,/en/omar_benson_miller
335,Michael Shannon,/en/michael_shannon
336,Xzibit,/en/xzibit
337,Proof,/en/proof_1975
338,Obie Trice,/en/obie_trice
339,Brian Grazer,/en/brian_grazer
340,Jimmy Iovine,/en/jimmy_iovine
341,De'Angelo Wilson,/en/deangelo_wilson
342,Eugene Byrd,/en/eugene_byrd
343,Taryn Manning,/en/taryn_manning
344,Larry Hudson,
345,DJ Head,
346,Mike Bell,
347,Tom Rooker,
348,William Goldman,
349,Scott Glenn,/en/scott_glenn
350,Laura Linney,/en/laura_linney
351,Judy Davis,/en/judy_davis
352,Dennis Haysbert,/en/dennis_haysbert
355,David Baldacci,
356,Jack N. Green,
357,Hany Abu-Assad,
366,James Mangold,/en/james_mangold
368,Reese Witherspoon,/en/reese_witherspoon
369,Henry Bumstead,
370,Jack G. Taylor Jr.,
371,Bill Coe,
372,Tom Stoppard,/en/tom_stoppard
373,Doug Jackson,
374,Charles McKeown,/en/charles_mckeown
375,Bub Asman,
376,Arnon Milchan,
377,Patrick Cassavetti,/en/patrick_cassavetti
378,Jonathan Pryce,
379,Donald Harris,
380,Robert De Niro,/en/robert_de_niro
381,Katherine Helmond,/en/katherine_helmond
382,Bob Hoskins,/en/bob_hoskins
383,Michael Palin,/en/michael_palin
384,Joel Cox,
385,Ian Richardson,/en/ian_richardson
386,Peter Vaughan,/en/peter_vaughan
387,Kim Greist,/en/kim_greist
388,Jim Broadbent,/en/jim_broadbent
389,Alison Eastwood,/en/alison_eastwood
390,Irene Lamb,
391,Norman Garwood,
393,Rodney Glenn,
394,Bob Doyle,
397,Darío Moreno,
398,Rosario Flores,
399,Mariola Fuentes,
400,Geraldine Chaplin,/en/geraldine_chaplin
402,Pina Bausch,
403,Javier Aguirresarobe,
404,Melora Hardin,/en/melora_hardin
405,Alberto Iglesias,
407,Gill Dennis,
408,James Keach,/en/james_keach
409,Cathy Konrad,
410,John Carter Cash,
413,José Salcedo,
414,Alan C. Blomquist,
417,Ginnifer Goodwin,/en/ginnifer_goodwin
418,Robert Patrick,/en/robert_patrick
419,Tyler Hilton,/en/tyler_hilton
420,Johnathan Rice,/en/johnathan_rice
421,Shooter Jennings,/en/shooter_jennings
422,Waylon Payne,
423,Phyllis Huffman,
424,Dallas Roberts,/en/dallas_roberts
425,Dan John Miller,
426,Larry Bagby,/en/larry_bagby
427,Sandra Ellis Lafferty,/en/sandra_ellis_lafferty
428,Dan Beene,
429,Lucas Till,/en/lucas_till
430,Hailey Anne Nelson,
431,Victoria Hester,
432,Phedon Papamichael,
433,Michael McCusker,
434,Lisa Beach,
